,Temp-int,Press-int,Humid-int,Temp-ext,Press-ext,Humid-ext,TGS20,TGS02,SGP,SpA410,SpB435,SpC460,SpD485,SpE510,SpF535,SpG560,SpH585,SpR610,SpI645,SpS680,SpJ705,SpT730,SpU760,SpV810,SpW860,SpK900,SpL940
23716,13.9138221444674,981.2833653015217,56.92483173492391,13.358653879391314,981.9930287713696,55.634831734923914,737.9326939695657,2879.0,114.0,5.877471754111438e-39,1.0007752180099487,0.7902707457542419,0.8125736713409424,3.3742241859436035,6.512235641479492,0.4497818052768707,0.42616045475006104,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,3.1892452239990234,1.688589096069336
11777,17.777908456550577,1004.3179084565506,70.6993028188502,17.48930281885019,1004.2972112754007,61.377211275400775,519.4183086898846,1513.4183086898847,111.0,10.225178718566895,2.071322606050068,0.8453669324726755,0.8125736713409424,5.904892444610596,13.024471282958984,1.8304851586462725,1.3081924678347052,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.3775206725787056,1.928891897201538,0.06432441172747504,1.580614686012268,4.4117302914570535,2.6577043533325195,0.844294548034668
5931,11.7,982.82,53.15,11.18,983.31,56.02,506.0,2532.0,112.0,2.27226185798645,1.0007752180099487,0.7902707457542419,0.8125736713409424,4.217780113220215,7.5976080894470215,0.4497818052768707,0.42616045475006104,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,0.35291603207588196,0.964445948600769,5.877471754111438e-39,0.790307343006134,1.4371776580810547,2.6577043533325195,0.844294548034668
3828,13.65,985.71,73.33,13.43,985.78,58.38,2568.0,4006.0,114.0,1.136130928993225,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.4497818052768707,0.42616045475006104,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,1.928891897201538,0.922635555267334,1.580614686012268,1.4371776580810547,1.0630817413330078,0.844294548034668
22270,15.067130511942066,977.1754797268992,56.965738976115865,14.626434744028966,977.7704365186964,54.55130511942066,755.0,2965.713051194207,113.35652559710331,5.877471754111438e-39,1.0007752180099487,0.7902707457542419,0.8125736713409424,3.3742241859436035,6.512235641479492,0.4497818052768707,0.42616045475006104,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,3.1892452239990234,1.688589096069336
24780,14.040224467086091,1002.342356904404,70.86022446708608,13.790112233543045,1002.3419079702318,48.73955106582782,1018.0224467086091,3210.9663299370864,116.0,1.136130928993225,1.0007752180099487,0.7902707457542419,0.8125736713409424,5.061336517333984,10.85372543334961,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.008064977027617104,2.1261634826660156,0.844294548034668
18310,16.74084644284182,1002.9186416999643,72.27706034282991,15.97253932852547,1003.1431627142687,74.10661422863271,482.46325428537386,2103.0,112.0,9.0890474319458,3.0023257732391357,0.7902707457542419,0.8125736713409424,5.904892444610596,13.024471282958984,1.799127221107483,1.7046418190002441,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.35291603207588196,1.928891897201538,5.877471754111438e-39,1.580614686012268,4.311532974243164,2.6577043533325195,0.844294548034668
3857,13.43,980.74,73.49,13.22,980.88,56.57,2569.0,4007.0,114.0,1.136130928993225,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.4497818052768707,0.42616045475006104,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,1.928891897201538,0.922635555267334,0.790307343006134,1.4371776580810547,1.0630817413330078,0.844294548034668
25236,14.464496943108063,1005.7742519323288,71.67859580112786,14.233035874937592,1005.8286351368401,53.14449694310806,986.2751528445968,3139.2865267042616,116.0,3.733924722726625,2.0015504360198975,0.7902707457542419,0.8125736713409424,5.061336517333984,10.85372543334961,0.4497818052768707,0.548266805336298,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,0.35291603207588196,0.964445948600769,5.877471754111438e-39,0.790307343006134,2.155766487121582,2.1261634826660156,0.844294548034668
13832,16.156361645498272,1008.0418179606108,60.82726940916378,15.793631054662056,1008.3709101969454,59.73638841157707,418.9092236334486,2728.9092236334486,114.8182039389081,5.877471754111438e-39,1.0007752180099487,5.877471754111438e-39,0.8125736713409424,5.061336517333984,13.024471282958984,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,2.1261634826660156,0.844294548034668
